"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best","M3 z","M3 rho 68 percent lower","M3 rho 68 percent upper","M3 rho 95 percent lower","M3 rho 95 percent upper","M3 rho best","M4 z","M4 rho 68 percent lower","M4 rho 68 percent upper","M4 rho 95 percent lower","M4 rho 95 percent upper","M4 rho best","M5 z","M5 rho 68 percent lower","M5 rho 68 percent upper","M5 rho 95 percent lower","M5 rho 95 percent upper","M5 rho best"
-377.431,6.50427,6.51609,6.49534,6.52382,6.51309,-377.431,6.50427,6.51609,6.49534,6.52382,6.51309,-377.431,6.50427,6.51609,6.49534,6.52382,6.51309,-384.678,6.42698,6.44704,6.42272,6.45633,6.42597,-384.678,6.42698,6.44704,6.42272,6.45633,6.42597,-384.678,6.42698,6.44704,6.42272,6.45633,6.42597
-374.683,6.50940,6.52121,6.50124,6.52834,6.51708,-374.683,6.50940,6.52121,6.50124,6.52834,6.51708,-374.683,6.50940,6.52121,6.50124,6.52834,6.51708,-381.878,6.44482,6.46366,6.44036,6.47305,6.44428,-381.878,6.44482,6.46366,6.44036,6.47305,6.44428,-381.878,6.44482,6.46366,6.44036,6.47305,6.44428
-371.935,6.51314,6.52510,6.50609,6.53162,6.51981,-371.935,6.51314,6.52510,6.50609,6.53162,6.51981,-371.935,6.51314,6.52510,6.50609,6.53162,6.51981,-379.079,6.46049,6.47785,6.45559,6.48699,6.45991,-379.079,6.46049,6.47785,6.45559,6.48699,6.45991,-379.079,6.46049,6.47785,6.45559,6.48699,6.45991
-369.187,6.51592,6.52839,6.50976,6.53403,6.52164,-369.187,6.51592,6.52839,6.50976,6.53403,6.52164,-369.187,6.51592,6.52839,6.50976,6.53403,6.52164,-376.279,6.47363,6.48835,6.46858,6.49847,6.47308,-376.279,6.47363,6.48835,6.46858,6.49847,6.47308,-376.279,6.47363,6.48835,6.46858,6.49847,6.47308
-366.439,6.51787,6.53042,6.51249,6.53569,6.52282,-366.439,6.51787,6.53042,6.51249,6.53569,6.52282,-366.439,6.51787,6.53042,6.51249,6.53569,6.52282,-373.480,6.48517,6.49814,6.47941,6.50777,6.48404,-373.480,6.48517,6.49814,6.47941,6.50777,6.48404,-373.480,6.48517,6.49814,6.47941,6.50777,6.48404
-363.690,6.51917,6.53205,6.51390,6.53680,6.52357,-363.690,6.51917,6.53205,6.51390,6.53680,6.52357,-363.690,6.51917,6.53205,6.51390,6.53680,6.52357,-370.680,6.49372,6.50638,6.48826,6.51521,6.49303,-370.680,6.49372,6.50638,6.48826,6.51521,6.49303,-370.680,6.49372,6.50638,6.48826,6.51521,6.49303
-360.942,6.52018,6.53317,6.51476,6.53753,6.52404,-360.942,6.52018,6.53317,6.51476,6.53753,6.52404,-360.942,6.52018,6.53317,6.51476,6.53753,6.52404,-367.881,6.50033,6.51305,6.49488,6.52108,6.50032,-367.881,6.50033,6.51305,6.49488,6.52108,6.50032,-367.881,6.50033,6.51305,6.49488,6.52108,6.50032
-358.194,6.52094,6.53394,6.51532,6.53801,6.52432,-358.194,6.52094,6.53394,6.51532,6.53801,6.52432,-358.194,6.52094,6.53394,6.51532,6.53801,6.52432,-365.081,6.50613,6.51841,6.50012,6.52565,6.50615,-365.081,6.50613,6.51841,6.50012,6.52565,6.50615,-365.081,6.50613,6.51841,6.50012,6.52565,6.50615
-355.446,6.52161,6.53445,6.51568,6.53830,6.52448,-355.446,6.52161,6.53445,6.51568,6.53830,6.52448,-355.446,6.52161,6.53445,6.51568,6.53830,6.52448,-362.282,6.51010,6.52256,6.50422,6.52886,6.51074,-362.282,6.51010,6.52256,6.50422,6.52886,6.51074,-362.282,6.51010,6.52256,6.50422,6.52886,6.51074
-352.698,6.52201,6.53478,6.51591,6.53848,6.52457,-352.698,6.52201,6.53478,6.51591,6.53848,6.52457,-352.698,6.52201,6.53478,6.51591,6.53848,6.52457,-359.482,6.51308,6.52582,6.50739,6.53121,6.51432,-359.482,6.51308,6.52582,6.50739,6.53121,6.51432,-359.482,6.51308,6.52582,6.50739,6.53121,6.51432
-349.950,6.52217,6.53499,6.51605,6.53859,6.52463,-349.950,6.52217,6.53499,6.51605,6.53859,6.52463,-349.950,6.52217,6.53499,6.51605,6.53859,6.52463,-356.683,6.51560,6.52833,6.50980,6.53294,6.51708,-356.683,6.51560,6.52833,6.50980,6.53294,6.51708,-356.683,6.51560,6.52833,6.50980,6.53294,6.51708
